Median_Success_Rate,High School,Total_Instances,Success_Ranks,Corrected_Success_Ranks
9505.0,ÖZEL ŞENER ÇAKMAK FEN LİSESİ (ANKARA - YENİMAHALLE),2,"[7.31, 11.7]","[7310.0, 11700.0]"
9589.0,GAZİ MUSTAFA KEMAL ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,[9.589],[9589.0]
9610.0,FATİH ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,[9.61],[9610.0]
9610.0,ÖZEL YAKACIK FİNAL ANADOLU LİSESİ (İSTANBUL - KARTAL),1,[9.61],[9610.0]
9627.0,MUZAFFER ÇİL ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,[9.627],[9627.0]
9627.0,ÖZEL KURTKÖY UĞUR ANADOLU LİSESİ (İSTANBUL - PENDİK),1,[9.627],[9627.0]
9627.0,ÖZEL ŞEHİTKAMİL UYGAR ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,[9.627],[9627.0]
9627.0,ÖZEL ŞEFİK CÜCE ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,[9.627],[9627.0]
9643.333333333334,ÖZEL ŞEHİR KOLEJİ FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),3,"[1.763, 6.205, 20.962]","[1763.0, 6205.0, 20962.0]"
9693.5,ÖZEL METOD ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2,"[1.242, 18.145]","[1242.0, 18145.0]"
9716.0,ŞEHİT EROL OLÇOK ANADOLU LİSESİ (SAKARYA - SERDİVAN),1,[9.716],[9716.0]
9716.0,ÖZEL OSMANİYE ENDER KOLEJİ (OSMANİYE - MERKEZ),1,[9.716],[9716.0]
9716.0,ÖZEL CİHAN EĞİTİM OKULLARI FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,[9.716],[9716.0]
9716.0,TED KUZEY KIBRIS KOLEJİ,1,[9.716],[9716.0]
9716.0,KOCATEPE MİMAR KEMAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,[9.716],[9716.0]
9778.0,ÖZEL GİRNE KOLEJİ BATMAN ANADOLU LİSESİ (BATMAN - MERKEZ),2,"[7.32, 12.236]","[7320.0, 12236.0]"
9787.5,ÖZEL İNEGÖL KÜLTÜR FEN LİSESİ (BURSA - İNEGÖL),2,"[6.399, 13.176]","[6399.0, 13176.0]"
9790.333333333334,ÖZEL SÖKE DOĞA ANADOLU LİSESİ (AYDIN - SÖKE),3,"[5.29, 7.32, 16.761]","[5290.0, 7320.0, 16761.0]"
