Rank,High School,Total Students
266,ÖZEL YÜKSELEN ANADOLU LİSESİ (ANKARA - ÇUBUK),2
267,TED KARADENİZ EREĞLİ KOLEJİ VAKFI ÖZEL LİSESİ (ZONGULDAK - EREĞLİ),2
268,YALVAÇ FEN LİSESİ (ISPARTA - YALVAÇ),2
269,ADANA FEN LİSESİ (ADANA - SEYHAN),2
270,ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),2
271,BAHÇELİEVLER ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2
272,ÇANAKKALE FEN LİSESİ (ÇANAKKALE - MERKEZ),2
273,KONYA- MERAM FEN LİSESİ (KONYA - MERAM),2
274,LÜTFİ EGE ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),2
275,ÖZEL İSTEK GAZİANTEP FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),2
276,ÖZEL KONYA ŞEHİR FEN LİSESİ (KONYA - SELÇUKLU),2
277,POLATLI TOBB FEN LİSESİ (ANKARA - POLATLI),2
278,VECİHİ HÜRKUŞ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),2
279,KANUNİ ANADOLU LİSESİ (TRABZON - ORTAHİSAR),2
280,ÖZEL ELVANKENT AYYILDIZ SINAV ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
281,TRABZON SOSYAL BİLİMLER LİSESİ (TRABZON - ORTAHİSAR),2
282,ADAPAZARI ÖZEL ŞAHİN ANADOLU LİSESİ (SAKARYA - ADAPAZARI),2
283,MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),2
284,ÖZEL BİLFEN ANTALYA FEN LİSESİ (ANTALYA - MURATPAŞA),2
285,ÖZEL UFUK ÇİZGİSİ FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),2
286,ÖZEL İSTEK ANTALYA KONYAALTI FEN LİSESİ (ANTALYA - KONYAALTI),2
