High School,Total,New Graduates,Previous Graduates,Success Rank
AYDIN FEN LİSESİ (AYDIN - EFELER),1,1,0,945
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),1,1,0,945
CEMİL MERİÇ FEN LİSESİ (ELAZIĞ - MERKEZ),1,1,0,945
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),2,2,0,945
DR. İLHAMİ TANKUT ANADOLU LİSESİ (ANTALYA - KONYAALTI),1,1,0,945
ERZİNCAN FEN LİSESİ (ERZİNCAN - MERKEZ),2,2,0,945
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1,1,0,945
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,945
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,945
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),2,2,0,945
FİGEN SAKALLIOĞLU ANADOLU LİSESİ (SAKARYA - ERENLER),1,1,0,945
GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),1,1,0,945
GÖLCÜK FEN LİSESİ (KOCAELİ - GÖLCÜK),1,1,0,945
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ (BARTIN - MERKEZ),2,2,0,945
HÜSEYİN GİRENES FEN LİSESİ (ANTALYA - ALANYA),1,1,0,945
İNEGÖL MEDİHA-HAYRİ ÇELİK FEN LİSESİ (BURSA - İNEGÖL),1,1,0,945
KARABÜK MEHMET VERGİLİ FEN LİSESİ (KARABÜK - MERKEZ),1,1,0,945
KAYA KARAKAYA FEN LİSESİ (ELAZIĞ - MERKEZ),1,1,0,945
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),1,1,0,945
ALTINŞEHİR ANADOLU LİSESİ (ADIYAMAN - MERKEZ),1,1,0,945
KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),1,1,0,945
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),1,1,0,945
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,945
MANİSA FEN LİSESİ (MANİSA - YUNUSEMRE),1,1,0,945
MEHMET EMİN RESULZADE ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
MENTEŞE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (MUĞLA - MENTEŞE),1,1,0,945
MERSİN YUSUF KALKAVAN ANADOLU LİSESİ (MERSİN - MEZİTLİ),1,0,1,945
MEV KOLEJİ ÖZEL ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
MUT OSMAN NURİ YALMAN ANADOLU LİSESİ (MERSİN - MUT),1,1,0,945
NAMIK KARAMANCI FEN LİSESİ (ANTALYA - MANAVGAT),1,1,0,945
