High School,Total_Instances,Success_Ranks
UFUK ARSLAN ANADOLU LİSESİ (ANKARA - ETİMESGUT),2,"[3.659, 17.383]"
ULUSLARARASI MURAT HÜDAVENDİGAR ANADOLU İMAM HATİP LİSESİ (BURSA - OSMANGAZİ),2,"[26.897, 34.2]"
ÖZEL MAVİ GÖL FİNAL ANADOLU LİSESİ (ADANA - ÇUKUROVA),2,"[7.721, 26.829]"
TUĞRUL BEY ANADOLU LİSESİ (İSTANBUL - TUZLA),2,"[31.102, 35.495]"
TORBALI ANADOLU LİSESİ (İZMİR - TORBALI),2,"[28.414, 29.049]"
TRABZON KIZ ANADOLU İMAM HATİP LİSESİ (TRABZON - ORTAHİSAR),2,"[28.342, 30.722]"
TUNCELİ ANADOLU LİSESİ (TUNCELİ - MERKEZ),2,"[17.273, 17.383]"
TOKİ KAYAŞEHİR ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),2,"[11.277, 38.057]"
BAKIRKÖY ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),2,"[16.552, 22.085]"
ÖZEL ÖNERİ FEN LİSESİ (DİYARBAKIR - KAYAPINAR),2,"[17.828, 19.077]"
ÖZEL ÖVEÇLER SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[13.255, 13.485]"
EREĞLİ BORSA İSTANBUL ATATÜRK ANADOLU LİSESİ (ZONGULDAK - EREĞLİ),2,"[24.094, 35.079]"
ÖZEL MEHMET RECAİ TOYDEMİR ANADOLU LİSESİ (SİVAS - MERKEZ),2,"[28.342, 39.392]"
ÖZEL MEHMET ZEKİ DERMAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[17.018, 32.688]"
ÖZEL MEKTEBİM FEN LİSESİ (İSTANBUL - SİLİVRİ),2,"[9.61, 35.349]"
ÖZEL MAVİ LİMİT ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[3.658, 28.565]"
ÖZEL MARMARA KOLEJİ (İSTANBUL - MALTEPE),2,"[6.399, 22.037]"
TUZLUCAYIR ANADOLU LİSESİ (ANKARA - MAMAK),2,"[23.272, 30.795]"
TUĞBA ÖZBEK ANADOLU LİSESİ (İZMİR - ÇİĞLİ),2,"[20.037, 28.236]"
ÖZEL ÜMRANİYE SINAV ANADOLU LİSESİ (İSTANBUL - ÜMRANİYE),2,"[18.907, 30.424]"
ÖZEL ÜÇGEN ANADOLU LİSESİ (BURSA - NİLÜFER),2,"[36.271, 38.057]"
TÜRK EĞİTİM VAKFI ÖZEL İNANÇ TÜRKEŞ LİSESİ (KOCAELİ - GEBZE),2,"[14.988, 28.342]"
TÜRK TELEKOM KANUNİ ANADOLU LİSESİ (RİZE - ARDEŞEN),2,"[33.854, 36.271]"
ÖZEL KURTALAN YENİ MEDENİYET ANADOLU LİSESİ (SİİRT - KURTALAN),2,"[23.448, 36.794]"
ÖZEL KUŞADASI BAHÇEŞEHİR ANADOLU LİSESİ (AYDIN - KUŞADASI),2,"[33.211, 36.073]"
ÖZEL KONYA SİSTEM ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[20.156, 25.361]"
ÖZEL KONYA ŞEHİR FEN LİSESİ (KONYA - SELÇUKLU),2,"[25.361, 32.565]"
TED MALATYA KOLEJİ ÖZEL ANADOLU LİSESİ (MALATYA - BATTALGAZİ),2,"[13.176, 34.71]"
TED TRABZON ÖZEL ANADOLU LİSESİ (TRABZON - ORTAHİSAR),2,"[3.577, 19.498]"
TED ZONGULDAK KOLEJİ VAKFI ÖZEL LİSESİ (ZONGULDAK - MERKEZ),2,"[20.245, 30.424]"
ÖZEL İNEGÖL KÜLTÜR FEN LİSESİ (BURSA - İNEGÖL),2,"[6.399, 13.176]"
ÖZEL İKİ EYLÜL ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),2,"[19.442, 32.565]"
ÖZEL İLGİ ANADOLU LİSESİ (DİYARBAKIR - BAĞLAR),2,"[23.448, 27.177]"
ÖZEL İLKADIM BOĞAZİÇİ ANADOLU LİSESİ (SAMSUN - İLKADIM),2,"[13.255, 26.18]"
ÖZEL İDEA FEN LİSESİ (BURSA - OSMANGAZİ),2,"[3.294, 5.947]"
ÖZEL LÜLEBURGAZ İSTEK FEN LİSESİ (KIRKLARELİ - LÜLEBURGAZ),2,"[3.658, 13.746]"
ÖZEL KÜRE ANADOLU LİSESİ (İZMİR - BORNOVA),2,"[28.236, 32.688]"
ÖZEL KÜTAHYA BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KÜTAHYA - MERKEZ),2,"[16.394, 17.383]"
TES-İŞ ADAPAZARI ANADOLU LİSESİ (SAKARYA - ADAPAZARI),2,"[20.156, 23.451]"
MANİSA TİCARET BORSASI ANADOLU LİSESİ (MANİSA - YUNUSEMRE),2,"[27.586, 32.946]"
MARMARA ANADOLU LİSESİ (SİİRT - MERKEZ),2,"[19.015, 27.165]"
MAZIDAĞI ANADOLU LİSESİ (MARDİN - MAZIDAĞI),2,"[12.683, 36.794]"
MAMAK ANADOLU İMAM HATİP LİSESİ (ANKARA - MAMAK),2,"[23.323, 28.565]"
ÖZEL BEYŞEHİR DOĞA FEN LİSESİ (KONYA - BEYŞEHİR),2,"[18.333, 35.968]"
ÖZEL BEŞGEN ÇAYYOLU ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[9.937, 23.646]"
ÖZEL BAŞİSKELE UĞUR FEN LİSESİ (KOCAELİ - BAŞİSKELE),2,"[5.199, 9.295]"
ÖZEL BEK ANADOLU LİSESİ (HATAY - ANTAKYA),2,"[26.429, 34.643]"
ÖZEL BERGAMA DOĞA FEN LİSESİ (İZMİR - BERGAMA),2,"[19.569, 23.457]"
ÖZEL BAŞAKŞEHİR YENİDOĞU FEN LİSESİ (İSTANBUL - BAŞAKŞEHİR),2,"[8.071, 33.932]"
ÖZEL BAŞARILI ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2,"[3.689, 12.342]"
ÖZEL LARA OKYANUS FEN VE TEKNOLOJİ LİSESİ (ANTALYA - MURATPAŞA),2,"[7.43, 9.627]"
ÖZEL İSTEK ANTALYA LARA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2,"[16.19, 17.018]"
ATATÜRK ANADOLU LİSESİ (ANTALYA - KEPEZ),2,"[15.007, 34.2]"
MEHMET ADİL ÇULCUOĞLU ANADOLU LİSESİ (ŞANLIURFA - BİRECİK),2,"[28.1, 39.392]"
MEHMET AKİF ERSOY ANADOLU LİSESİ (BİNGÖL - MERKEZ),2,"[16.761, 24.461]"
ÖZEL BİLGEM ANADOLU LİSESİ (ELAZIĞ - MERKEZ),2,"[27.177, 31.544]"
ÖZEL BİLGEM FEN LİSESİ (ELAZIĞ - MERKEZ),2,"[11.277, 23.284]"
HAKKARİ FEN LİSESİ (HAKKARİ - MERKEZ),2,"[11.277, 23.448]"
HALICI AHMET URKAY ANADOLU LİSESİ (MUĞLA - MARMARİS),2,"[6.066, 15.007]"
TAVAS ZEYBEKLER ANADOLU LİSESİ (DENİZLİ - TAVAS),2,"[27.595, 28.1]"
MEHMET AKİF ERSOY ANADOLU LİSESİ (MANİSA - YUNUSEMRE),2,"[24.094, 34.888]"
ÖZEL İTİNA ANADOLU LİSESİ (İSTANBUL - ÜMRANİYE),2,"[18.6, 38.057]"
AYBASTI FEN LİSESİ (ORDU - AYBASTI),2,"[20.06, 34.116]"
ATATÜRK ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[23.884, 35.968]"
ATATÜRK ANADOLU İMAM HATİP LİSESİ (ANKARA - KEÇİÖREN),2,"[8.201, 30.424]"
ÖZEL İSTANBUL BİLİM FEN LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),2,"[5.725, 33.932]"
ÖZEL İSTEK ANTALYA KONYAALTI ANADOLU LİSESİ (ANTALYA - KONYAALTI),2,"[3.577, 17.942]"
ÖZEL BURSA ARENA FEN LİSESİ (BURSA - NİLÜFER),2,"[31.102, 34.037]"
ÖZEL BORNOVA TÜRK FEN LİSESİ (İZMİR - BORNOVA),2,"[28.376, 35.831]"
ÖZEL BOZÜYÜK SINAV KOLEJİ ANADOLU LİSESİ (BİLECİK - BOZÜYÜK),2,"[26.429, 38.243]"
TED BOLU KOLEJİ ÖZEL ANADOLU LİSESİ (BOLU - MERKEZ),2,"[16.394, 36.548]"
TED ELAZIĞ ÖZEL KOLEJİ ANADOLU LİSESİ (ELAZIĞ - MERKEZ),2,"[13.255, 23.284]"
MEHMET ERDOĞAN ANADOLU LİSESİ (MUĞLA - FETHİYE),2,"[14.988, 27.829]"
MELİKGAZİ NECDET TAŞ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),2,"[14.136, 21.427]"
MEHMET DOĞAN FEN LİSESİ (ANKARA - KALECİK),2,"[35.288, 36.937]"
ÖZEL KOZAN KOLEJİ ANADOLU LİSESİ (ADANA - KOZAN),2,"[10.612, 19.442]"
ÖZEL KOŞUYOLU CADDEM ANADOLU LİSESİ (İSTANBUL - KADIKÖY),2,"[14.398, 22.037]"
ÖZEL BURSA VENÜS KAMPÜS FEN LİSESİ (BURSA - MUDANYA),2,"[16.394, 39.558]"
ÖZEL BURSA ÖZLÜCE DOĞA ANADOLU LİSESİ (BURSA - NİLÜFER),2,"[20.962, 30.913]"
ÖZEL BÜYÜKÇEKMECE AKADEMİ FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),2,"[9.589, 13.177]"
GÜÇ KARDEŞLER ANADOLU LİSESİ (İSTANBUL - ÇEKMEKÖY),2,"[22.125, 31.383]"
ÖZEL BURSA BİLFEN FEN LİSESİ (BURSA - MUDANYA),2,"[7.721, 13.547]"
ÖZEL BUCA DOĞA FEN VE TEKNOLOJİ LİSESİ (İZMİR - BUCA),2,"[5.29, 18.12]"
ÖZEL KIZILTEPE UĞUR ANADOLU LİSESİ (MARDİN - KIZILTEPE),2,"[13.324, 36.794]"
ÖZEL KIRDAR BİLGİÖREN KOLEJİ FEN LİSESİ (KÜTAHYA - MERKEZ),2,"[10.165, 11.527]"
ÖZEL KIRIKHAN FİNAL AKADEMİ ANADOLU LİSESİ (HATAY - KIRIKHAN),2,"[5.145, 22.314]"
ÖZEL KIRIKKKALE DÜNYA ANADOLU LİSESİ (KIRIKKALE - MERKEZ),2,"[7.43, 16.409]"
ÖZEL KENT MEKTEBİ ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),2,"[27.956, 28.376]"
ÖZEL KESTEL KÜLTÜR ANADOLU LİSESİ (BURSA - KESTEL),2,"[8.201, 26.805]"
ÖZEL KAYSERİ SİMYA KOLEJİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),2,"[26.345, 31.544]"
ÖZEL KAYSERİ UĞUR ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),2,"[26.18, 29.446]"
ÖZEL KOCAELİ DOĞA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - İZMİT),2,"[1.858, 16.552]"
ERTUĞRULGAZİ ANADOLU LİSESİ (ERZİNCAN - MERKEZ),2,"[17.824, 34.2]"
ÖZEL DARÜŞŞİFA ERYAMAN ASAL FEN LİSESİ (ANKARA - ETİMESGUT),2,"[18.131, 19.32]"
ÖZEL BİRİKİM HAYAT FEN LİSESİ (İSTANBUL - BAĞCILAR),2,"[1.348, 33.408]"
ÖZEL BİSMİL BAHÇEŞEHİR ANADOLU LİSESİ (DİYARBAKIR - BİSMİL),2,"[35.417, 38.2]"
ÖZEL BİLNET ANADOLU LİSESİ (BALIKESİR - ALTIEYLÜL),2,"[26.345, 30.608]"
ÖZEL KIZILTEPE SINAV KOLEJİ ANADOLU LİSESİ (MARDİN - KIZILTEPE),2,"[33.565, 35.386]"
ÖZEL KIZILTEPE SINAV KOLEJİ FEN LİSESİ (MARDİN - KIZILTEPE),2,"[19.077, 23.448]"
ÖZEL KONYA AÇI ANADOLU LİSESİ (KONYA - KARATAY),2,"[7.721, 22.581]"
ÖZEL KONYA NESİBE AYDIN ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[18.333, 25.78]"
ÖZEL KONYA SELÇUKLU AKADEMİ ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[27.034, 36.548]"
ESENYURT ANADOLU LİSESİ (İSTANBUL - ESENYURT),2,"[4.377, 23.284]"
ERZİN YEŞİLKENT ANADOLU LİSESİ (HATAY - ERZİN),2,"[16.846, 36.794]"
ERZİNCAN ANADOLU LİSESİ (ERZİNCAN - MERKEZ),2,"[12.558, 21.427]"
ÖZEL KOCAELİ BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KOCAELİ - KARTEPE),2,"[6.639, 27.034]"
ÖZEL KOCAELİ BİLGİLİ KÜLTÜR FEN LİSESİ (KOCAELİ - BAŞİSKELE),2,"[6.639, 26.044]"
HALİDE EDİP ADIVAR ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),2,"[12.342, 29.719]"
ÖZEL BÜYÜKÇEKMEÇE UĞUR ANADOLU LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),2,"[15.038, 23.884]"
HACI MURAT-HATİCE ÖZSOY ANADOLU LİSESİ (İZMİR - ÇEŞME),2,"[22.085, 28.236]"
H. AHMET KANATLI ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),2,"[17.273, 36.548]"
H. SEBİHA ÖZLEK ANADOLU LİSESİ (ŞANLIURFA - HALİLİYE),2,"[9.627, 26.474]"
HACI AVNİ KIZ ANADOLU İMAM HATİP LİSESİ (MALATYA - BATTALGAZİ),2,"[21.168, 28.414]"
HACI BOZAN BOZANOĞLU MESLEKİ VE TEKNİK ANADOLU LİSESİ (ŞANLIURFA - HALİLİYE),2,"[26.474, 35.666]"
ÖZEL KONAKLAR CİHANGİR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),2,"[24.752, 35.496]"
MUĞLA ŞEHİT ALTUĞ PEK ANADOLU LİSESİ (MUĞLA - MENTEŞE),2,"[15.66, 18.333]"
MUŞ BORSA İSTANBUL ANADOLU LİSESİ (MUŞ - MERKEZ),2,"[24.094, 30.722]"
MUSTAFA KEMAL ANADOLU LİSESİ (ŞANLIURFA - SİVEREK),2,"[26.474, 27.909]"
MUSTAFA ÇİZMECİOĞLU ANADOLU LİSESİ (BOLU - MERKEZ),2,"[23.451, 27.034]"
MUSTAFA KAYA ANADOLU LİSESİ (KASTAMONU - MERKEZ),2,"[21.427, 23.451]"
İHSAN DOĞRAMACI VAKFI ÖZEL BİLKENT LABORATUAR LİSESİ (ERZURUM - YAKUTİYE),2,"[7.32, 18.719]"
İLHAN ATIŞ ANADOLU LİSESİ (ADANA - SEYHAN),2,"[19.077, 28.704]"
İLUH ANADOLU LİSESİ (BATMAN - MERKEZ),2,"[24.752, 27.177]"
ÖZEL ŞENER ÇAKMAK FEN LİSESİ (ANKARA - YENİMAHALLE),2,"[7.31, 11.7]"
ÖZEL ŞANLIURFA UFUK KOLEJİ ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),2,"[15.038, 26.474]"
ÖZEL İŞLEM ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[8.201, 37.839]"
ÖZEL İŞLEM FEN LİSESİ (ANKARA - ÇANKAYA),2,"[9.716, 28.342]"
ÖZEL ŞANLIURFA BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),2,"[18.333, 26.474]"
TED ALİAĞA KOLEJİ VAKFI ÖZEL LİSESİ (İZMİR - ALİAĞA),2,"[35.288, 38.177]"
İSLAHİYE OPET ANADOLU LİSESİ (GAZİANTEP - İSLAHİYE),2,"[5.29, 34.778]"
SIDDIK DEMİR ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),2,"[19.32, 27.034]"
SİNOP ANADOLU LİSESİ (SİNOP - MERKEZ),2,"[21.427, 27.75]"
SÜLEYMAN DEMİREL ANADOLU LİSESİ (KIRIKKALE - MERKEZ),2,"[30.795, 39.392]"
SİLVAN ANADOLU LİSESİ (DİYARBAKIR - SİLVAN),2,"[19.077, 29.182]"
MENDERES FATMA-RAMAZAN BÜKÜŞOĞLU ANADOLU LİSESİ (İZMİR - MENDERES),2,"[23.272, 28.236]"
ÖZEL ŞENTEPE FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2,"[16.052, 35.496]"
ÖZEN ADALI ANADOLU LİSESİ (VAN - İPEKYOLU),2,"[27.427, 31.183]"
ÜMRANİYE ŞEHİT EROL OLÇOK KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - ÜMRANİYE),2,"[9.589, 27.815]"
ÜMİTKÖY ANADOLU İMAM HATİP LİSESİ (ANKARA - ÇANKAYA),2,"[1.804, 5.199]"
ÖZEL KARTAL FİNAL ANADOLU LİSESİ (İSTANBUL - KARTAL),2,"[16.409, 29.182]"
ÖZEL KARŞIYAKA ŞEMİKLER UĞUR ANADOLU LİSESİ (İZMİR - KARŞIYAKA),2,"[10.795, 23.457]"
ÖZEL KAMPÜS ANADOLU LİSESİ (ANKARA - KEÇİÖREN),2,"[13.564, 27.595]"
ÖZEL KAPLAN ÜÇEVLER ANADOLU LİSESİ (BURSA - NİLÜFER),2,"[17.273, 37.839]"
ÖZEL KARABÜK FİNAL ANADOLU LİSESİ (KARABÜK - MERKEZ),2,"[23.352, 23.451]"
ÖZEL KADIKÖY EĞİTMEN FEN LİSESİ (İSTANBUL - KADIKÖY),2,"[11.733, 13.973]"
SİVEREK KIZ ANADOLU LİSESİ (ŞANLIURFA - SİVEREK),2,"[10.612, 30.038]"
MEV KOLEJİ ÖZEL İZMİR BORNOVA FEN LİSESİ (İZMİR - BORNOVA),2,"[12.683, 20.33]"
SELÇUKLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),2,"[33.097, 39.392]"
SARAYBOSNA ANADOLU LİSESİ (KONYA - SELÇUKLU),2,"[35.968, 37.31]"
SABRİ ÜLKER ANADOLU İMAM HATİP LİSESİ (İSTANBUL - SULTANGAZİ),2,"[6.545, 17.273]"
SABİHA GÖKÇEN MESLEKİ VE TEKNİK ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),2,"[23.323, 23.783]"
SALİH ZEKİ ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),2,"[12.201, 25.811]"
AMİRAL VEHBİ ZİYA DÜMER ANADOLU LİSESİ (İSTANBUL - ESENLER),2,"[29.049, 30.774]"
ALİ FUAT BAŞGİL ANADOLU LİSESİ (SAMSUN - ÇARŞAMBA),2,"[7.32, 38.2]"
ALAŞEHİR SELAHATTİN-ZUHAL BARUTÇUOĞLU ANADOLU LİSESİ (MANİSA - ALAŞEHİR),2,"[35.417, 38.298]"
ÖZEL HOŞDERE SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[34.163, 34.2]"
ÖZEL HALKALI ATAKENT ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),2,"[12.558, 20.037]"
SERMET YALÇIN ANADOLU LİSESİ (DİYARBAKIR - ERGANİ),2,"[29.182, 36.794]"
SERİK ANADOLU LİSESİ (ANTALYA - SERİK),2,"[32.946, 34.285]"
SEVİM KÜRÜM ANADOLU LİSESİ (VAN - ERCİŞ),2,"[10.165, 21.168]"
SEFAKÖY ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),2,"[9.589, 27.413]"
SELAHADDİN EYYUBİ ANADOLU İMAM HATİP LİSESİ (DİYARBAKIR - BİSMİL),2,"[23.284, 27.177]"
SELAHADDİN EYYUBİ ANADOLU İMAM HATİP LİSESİ (MUŞ - MERKEZ),2,"[9.627, 29.182]"
GÜMÜŞHACIKÖY HASAN COCİ ANADOLU LİSESİ (AMASYA - GÜMÜŞHACIKÖY),2,"[13.487, 36.271]"
ÖZEL DENİZATI ANADOLU LİSESİ (İSTANBUL - ATAŞEHİR),2,"[15.094, 19.963]"
ÖZEL ISPARTA KÜLTÜR ANADOLU LİSESİ (ISPARTA - MERKEZ),2,"[22.161, 27.516]"
FATİH ANADOLU LİSESİ (KAHRAMANMARAŞ - DULKADİROĞLU),2,"[8.58, 18.118]"
FATİN RÜŞTÜ ZORLU ANADOLU LİSESİ (İSTANBUL - KARTAL),2,"[10.901, 23.884]"
FERİZLİ FİKRET-İSMET AKTEKİN ANADOLU LİSESİ (SAKARYA - FERİZLİ),2,"[16.552, 29.446]"
ÖZEL IRMAK ANADOLU LİSESİ (İSTANBUL - KADIKÖY),2,"[6.639, 12.286]"
ÖZEL HATAY GÜNEŞ KOLEJİ FEN LİSESİ (HATAY - DEFNE),2,"[10.612, 18.6]"
İ.T.Ü. GELİŞTİRME VAKFI ÖZEL İZMİR ANADOLU LİSESİ (İZMİR - GAZİEMİR),2,"[12.683, 33.097]"
İBRAHİM ÇALIK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),2,"[13.176, 37.569]"
ANTALYA LİSESİ (ANTALYA - MURATPAŞA),2,"[21.427, 34.037]"
ÜNAL AYSAL ANADOLU LİSESİ (ANTALYA - KEMER),2,"[21.103, 26.18]"
ÜNYE ANADOLU LİSESİ (ORDU - ÜNYE),2,"[15.038, 31.544]"
SİVAS BİLİŞİM TEKNOLOJİLERİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (SİVAS - MERKEZ),2,"[21.427, 39.558]"
ÖZEL DEVRAN FEN LİSESİ (İSTANBUL - ESENLER),2,"[12.558, 26.106]"
GÜRLEK-NAKİPOĞLU ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),2,"[27.165, 29.049]"
ŞAHİNBEY BELEDİYESİ MEHMET EMİN ER KIZ ANADOLU İMAM HATİP LİSESİ (GAZİANTEP - ŞAHİNBEY),2,"[19.077, 28.414]"
ŞAHİNLER ANADOLU LİSESİ (BURSA - NİLÜFER),2,"[22.161, 34.116]"
İSTEK ÖZEL ATANUR OĞUZ ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),2,"[7.43, 27.815]"
ANAMUR ANADOLU LİSESİ (MERSİN - ANAMUR),2,"[17.824, 35.968]"
ANKARA ALTINDAĞ BELEDİYESİ KIZ ANADOLU İMAM HATİP LİSESİ (BOLU - MERKEZ),2,"[19.498, 29.719]"
İSTANBUL GAZİANTEPLİLER ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),2,"[9.627, 16.846]"
İSTANBUL KADIKÖY LİSESİ (İSTANBUL - KADIKÖY),2,"[16.409, 31.102]"
İSTEK ÖZEL ACIBADEM ANADOLU LİSESİ (İSTANBUL - KADIKÖY),2,"[26.044, 33.05]"
ÖZEL ELVANKENT FİNAL ANADOLU LİSESİ (ANKARA - ETİMESGUT),2,"[34.627, 35.36]"
ŞAİR ABAY KONANBAY ANADOLU LİSESİ (İSTANBUL - SULTANGAZİ),2,"[26.18, 29.182]"
NAZİLLİ MENDERES ANADOLU LİSESİ (AYDIN - NAZİLLİ),2,"[20.419, 35.496]"
NECİP FAZIL KISAKÜREK ANADOLU LİSESİ (ELAZIĞ - MERKEZ),2,"[23.284, 32.334]"
NECİP FAZIL KISAKÜREK ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),2,"[23.284, 28.342]"
MİMAR SİNAN ANADOLU LİSESİ (ÇORUM - MERKEZ),2,"[17.071, 33.097]"
NACİYE MUMCUOĞLU ANADOLU LİSESİ (KONYA - MERAM),2,"[13.25, 28.376]"
REHA ALEMDAROĞLU ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[20.156, 31.544]"
ÖZEL DOĞAN KOLEJİ ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),2,"[22.037, 29.827]"
ÖZEL DOĞUBAYAZIT BAHÇEŞEHİR ANADOLU LİSESİ (AĞRI - DOĞUBAYAZIT),2,"[9.627, 33.565]"
ÖZEL DUDULLU TERCİH ANADOLU LİSESİ (İSTANBUL - ÜMRANİYE),2,"[10.612, 22.314]"
ÖZEL DÖRTGEN ANADOLU LİSESİ (AYDIN - EFELER),2,"[24.094, 27.595]"
ÖZEL DÖRTYOL BAHÇEŞEHİR ANADOLU LİSESİ (HATAY - DÖRTYOL),2,"[14.61, 32.946]"
ÖZEL ELAZIĞ SİMYA FEN LİSESİ (ELAZIĞ - MERKEZ),2,"[23.284, 34.163]"
ÖZEL ELBİSTAN FİNAL AKADEMİ FEN LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),2,"[20.156, 21.168]"
ÖZEL ELBİSTAN FİNAL FEN LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),2,"[15.033, 23.517]"
İNÖNÜ ANADOLU LİSESİ (ÇORUM - MERKEZ),2,"[10.321, 24.13]"
İPEKYOLU KIZ ANADOLU LİSESİ (MARDİN - KIZILTEPE),2,"[18.333, 26.474]"
ÖZEL GİRNE KOLEJİ BATMAN ANADOLU LİSESİ (BATMAN - MERKEZ),2,"[7.32, 12.236]"
ÖZEL DİYARBAKIR UMUT FEN LİSESİ (DİYARBAKIR - BAĞLAR),2,"[22.085, 27.909]"
ÖZEL DİYARBAKIR YEDİİKLİM FEN LİSESİ (DİYARBAKIR - KAYAPINAR),2,"[2.826, 20.037]"
ÖZEL EGE ATABEY ANADOLU LİSESİ (AYDIN - EFELER),2,"[24.589, 33.097]"
ÖZEL DİDİM SINAV FEN LİSESİ (AYDIN - DİDİM),2,"[22.581, 32.334]"
ÖZEL DİKMEN HAZIRLIK ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,"[13.25, 34.71]"
ŞEHİT MEHMET GÜDER ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),2,"[18.6, 27.956]"
ŞEHİT MEHMET AKİF SANCAR ANADOLU İMAM HATİP LİSESİ (MUĞLA - DALAMAN),2,"[3.658, 23.272]"
ACIPAYAM ANADOLU LİSESİ (DENİZLİ - ACIPAYAM),2,"[20.419, 37.002]"
ŞULE YÜKSEL ŞENLER KIZ ANADOLU İMAM HATİP LİSESİ (BALIKESİR - KARESİ),2,"[3.294, 33.854]"
15 TEMMUZ ŞEHİTLERİ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAHÇELİEVLER),2,"[22.192, 23.884]"
15 TEMMUZ ŞEHİTLERİ ANADOLU İMAM HATİP LİSESİ (ZONGULDAK - EREĞLİ),2,"[20.156, 27.427]"
15 TEMMUZ ŞEHİT MUHAMMED YALÇIN KIZ ANADOLU İMAM HATİP LİSESİ (KARAMAN - MERKEZ),2,"[23.451, 32.565]"
OZAN NEŞET ERTAŞ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),2,"[17.273, 19.077]"
FÜSUN YÖNDER ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2,"[31.183, 38.057]"
FİGEN SAKALLIOĞLU ANADOLU LİSESİ (SAKARYA - ERENLER),2,"[945.0, 23.451]"
ÖZEL FİNAL AKADEMİ ANADOLU LİSESİ (ISPARTA - MERKEZ),2,"[3.294, 16.371]"
ÖZEL FETHİYE GİRNE KOLEJİ ANADOLU LİSESİ (MUĞLA - FETHİYE),2,"[6.762, 39.206]"
ŞEHİT TÜRKMEN TEKİN KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - ESENLER),2,"[31.102, 39.28]"
85. YIL MİLLİ EGEMENLİK ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),2,"[26.474, 36.794]"
88.YIL CUMHURİYET ANADOLU LİSESİ (TRABZON - ORTAHİSAR),2,"[27.595, 36.271]"
ABBAS-SIDIKA ÇALIK ANADOLU LİSESİ (ADANA - ÇUKUROVA),2,"[16.846, 25.78]"
